function,window,status,sync_laps,coup_per,distance
entropy,12,noise,0,False,0.9829661969429178
entropy,12,noise,0,False,0.9483222057517218
entropy,12,noise,0,False,0.9523131884358693
entropy,12,noise,0,False,0.9152032978653475
entropy,12,noise,0,False,0.9462651403597593
entropy,12,noise,0,False,0.9227790909234426
entropy,12,noise,0,False,0.927213866678053
entropy,12,noise,0,False,0.9490848753623153
entropy,12,noise,0,False,0.9242223141687091
entropy,12,noise,0,False,0.9588402056551358
entropy,12,noise,0,False,0.939531013644898
entropy,12,noise,0,False,0.9340194539158841
entropy,12,noise,0,False,0.9197303874827119
entropy,12,noise,0,False,0.926090017302909
entropy,12,noise,0,False,0.9509744374390949
entropy,12,noise,0,False,0.9187029623136598
entropy,12,noise,0,False,0.9690641055545284
entropy,12,noise,0,False,0.9117011007973124
entropy,12,noise,0,False,0.9241739741074804
entropy,12,noise,0,False,0.9268324056945367
entropy,12,noise,0,False,0.9815023242061341
entropy,12,noise,0,False,0.9488185275775041
entropy,12,noise,0,False,0.9055965391200593
entropy,12,noise,0,False,0.9705033308126438
entropy,12,noise,0,False,0.9091140645238002
entropy,12,noise,0,False,0.9525332205063712
entropy,12,noise,0,False,0.9259208579133584
entropy,12,noise,0,False,0.911443881448524
entropy,12,noise,0,False,0.9172376894188736
entropy,12,noise,0,False,0.9310664249948138
entropy,12,noise,0,False,0.9172183630960165
entropy,12,noise,0,False,0.8907278385754489
entropy,12,noise,0,False,0.9282910320663358
entropy,12,noise,0,False,0.9253433750077649
entropy,12,noise,0,False,0.9060848781128663
entropy,12,noise,0,False,0.9332249181828163
entropy,12,noise,0,False,0.8744003826015998
entropy,12,noise,0,False,0.9035129794681205
entropy,12,noise,0,False,0.9421653060260897
entropy,12,noise,0,False,0.9515346183687514
entropy,12,noise,0,False,0.930684326681054
entropy,12,noise,0,False,0.953904601814789
entropy,12,noise,0,False,0.9171758546619192
entropy,12,noise,0,False,0.9310602758018185
entropy,12,noise,0,False,0.9121287506362123
entropy,12,noise,0,False,0.9416406077921797
entropy,12,noise,0,False,0.9678160761941561
entropy,12,noise,0,False,1.0087152249570561
entropy,12,noise,0,False,0.9377096900730224
entropy,12,noise,0,False,0.9106789967840718
entropy,12,noise,0,False,0.9583465455065174
entropy,12,noise,0,False,0.9210536194368404
entropy,12,noise,0,False,0.9251204289036608
entropy,12,noise,0,False,0.9147191344253041
entropy,12,noise,0,False,0.9198919454531662
entropy,12,noise,0,False,0.9381516495035054
entropy,12,noise,0,False,0.995340429631725
entropy,12,noise,0,False,0.9452308031699541
entropy,12,noise,0,False,0.9587511269517751
entropy,12,noise,0,False,0.9123419961834753
entropy,12,noise,0,False,0.9415574223654486
